имя           очки         моенты       рубины       

лошарик        0             0            0
лошарик2       20            10           0

волшебка       60            40           2
волшебка2      40            40           2

вампиряк       50            40           2
вампиряк2      60            40           3

святоша        50            30           2
святоша2       40            40           2

панкрат        80            50           4
панкрат2       80            60           4

инжик          90            60           8
инжик2         30            20           1

пикряк         100           70           6
пикряк2        50            30           3

книжлок        150           100          10
книжлок2       80            40           3

мазюк          80            50           4
мазюк2         60            40           4

тамада         70            60           4
тамада2        80            80           4

зомбик         140           80           8
зомбик2        140           80           8

футуря         170           110          7
футуря2        100           60           4

ворюга         150           90           9
ворюга2        130           80           7

няшка          170           120          10
няшка2         80            80           6

бомбер         120           70           7
бомбер2        80            50           4

терминат       400           300          20
терминат2      400           300          20

злючка         200           130          12
злючка2        100           50           6

нюнзяна        500           300          30
нюнзяка2       300           200          15

гламурка       400           250          15
гламурка2      200           180          10

мафик          350           250          13
мафик2         200           100          7

скайфай        420           300          17
скайфай2       280           150          8

марсюк         1000          700          100
марсюк2        1000          700          100

роктер         400           200          14
роктер2        300           150          8

бигбосс        460           310          23
бигбосс2       290           150          10

космос         1000          700          100
космос2        300           200          20
